id;region_name;surface;top_peak_name;top_peak_height
1;Solomon Islands Licensed;83530;installation;18651
2;Refined Rubber Gloves Algerian Dinar Clothing;51209;Future-proofed deposit Sausages;69093
3;synthesize Creative;13752;bricks-and-clicks Concrete Global;87733
4;Enhanced deposit parsing;55520;Equatorial Guinea Vision-oriented;9310
5;Customer Human deposit;33902;cross-media;72595
6;Internal AI optical;64203;Unbranded Cheese Dynamic;60642
7;Tools Unbranded;66350;Home Gloves Latvia;69189
8;invoice Devolved;71217;Networked;32539
9;navigate;64963;calculating withdrawal Nevada;9367
10;turn-key dedicated;24398;Strategist target;89204
